title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
2 Nights Ago,"Mekalek, Jesse Calico",5GedELYU6lMxJcH8ml0TPk,0.667,0.805,8,-3.977,1,0.1,0.0373,0.0,0.281,0.796,84.991,1
3:16,Murs,3XKchtl5AJuUvwyB432Xrx,0.754,0.626,10,-7.991,0,0.233,0.0394,0.0,0.0437,0.77,90.026,20
14 Til,Anti Lilly & Phoniks,50oMV9ChVZchW4zAcsKigA,0.82,0.592,6,-7.001,1,0.313,0.042,0.0,0.0712,0.905,90.01,2
"20/20 Vision (feat. Tragedy Khadafi, Skyzoo, Kevlaar 7, Salute da Kidd)",Endemic,1UhZcLnHZyipY9nc2URyfr,0.703,0.704,6,-5.272,0,0.423,0.142,0.0,0.11,0.562,94.028,14
46 Bars of Death,"Hannibal Stax & Marco Polo, Hannibal Stax, Marco Polo",50hzosKhl96RLqSBdR9Iaa,0.605,0.757,4,-7.842,0,0.324,0.0444,0.00686,0.309,0.651,174.006,19
48 Laws Pt. 1 (feat. Indjnous),"Apollo Brown, Ras Kass",6SvhNpmRm3BfdgzGvWu0mF,0.619,0.881,4,-5.849,0,0.196,0.00154,0.0213,0.382,0.543,85.832,0
59Fifty (New Era),Access Immortal,3ZJh8uKi5aVUhm0wcirHbP,0.56,0.891,1,-4.458,1,0.142,0.363,0.0,0.611,0.5,90.075,12
90,Illa Ghee,7KV5Rrb0vJgrRSvrn0Amif,0.7,0.703,11,-7.039,1,0.267,0.0445,0.0,0.066,0.716,90.051,2
95 North,"Oddisee, Lo-G, Akir, Enigma",4PgOZfnSbldcqCxY40JY10,0.705,0.661,4,-11.294,0,0.311,0.651,4.34e-06,0.149,0.896,98.149,0
190 (feat. Al-Shid),J-Zone,0xeEWdcrwdGYQkOjtkHbbl,0.511,0.803,7,-8.155,1,0.486,0.0798,0.0,0.639,0.633,92.876,12
911 Is A Joke,Public Enemy,3iTrlBCVU1Cd1VkNDqKWWO,0.732,0.788,1,-12.641,0,0.213,0.0118,0.0,0.137,0.765,103.584,0
1980,"Reks, Jaysaun, Tri State",74anl1GzmmplKmRltHU0PI,0.749,0.825,11,-6.584,1,0.296,0.0238,0.0,0.183,0.371,92.108,2
"A Better Tomorrow (feat. Inspectah Deck, Masta Killa, U-God, RZA & Method Man)","Wu-Tang Clan, Inspectah Deck, Masta Killa, U-God, RZA, Method Man",1OB7p2ulZT8Z8qkY5akeZB,0.667,0.551,11,-9.631,1,0.289,0.0152,1.05e-06,0.677,0.369,91.072,12
A Couple Dollars,"Apollo Brown, Skyzoo, Joell Ortiz",77vuUbVz5SqzYo3wtKyo2u,0.461,0.552,1,-6.352,1,0.273,0.0431,0.0,0.371,0.414,171.461,5
A Day to God Is 1000 Years,RZA,4YeFf1R6VOgEvttNz9jFqu,0.674,0.697,8,-5.742,1,0.222,0.306,0.0,0.135,0.646,87.305,2
A Million And One Things To Do,Time Machine,4rfl2saEr0DX960tUYsLVf,0.818,0.733,8,-6.26,0,0.274,0.0117,7.68e-05,0.0865,0.939,93.94,7
A Moment In Time (Featuring Planet Asia),"Evidence, Planet Asia, Cuts by DJ Babu",5cur8Z1nnY3yf5To2aLewC,0.381,0.875,3,-5.82,0,0.352,0.0163,2.61e-06,0.413,0.781,170.14,19
A Second to Wreck It,Type.Raw,3URgib4NDsHckw20tbt4GH,0.638,0.708,1,-10.025,1,0.47,0.31,0.0,0.29,0.708,91.325,18
A Tale of Lust,"Klive Kraven, Absoulut Karnage",3oFG3zgyH2FgPExfStQzOC,0.404,0.877,1,-4.432,1,0.262,0.0154,5.82e-05,0.47,0.681,97.741,18
A.M./P.M.,Kwest Tha Madd Lad,3k8sni7WXuyYjcsK1eYiT1,0.571,0.773,4,-5.628,1,0.378,0.0198,0.0,0.454,0.651,88.448,18
Accordion,"Madvillain, Madlib, MF DOOM",67vrmPygrZ9giGqHUSReAT,0.578,0.631,9,-6.518,0,0.309,0.0243,0.0,0.0665,0.716,96.332,14
Adrenaline Rush,Twista,4yBocB472ltALbHjm4qYYC,0.617,0.884,7,-6.739,0,0.0672,0.0971,1.2e-05,0.111,0.346,129.435,11
All About Wars,F.A.T.A.L. Fountain,3BS9zdSim2BalRynJC6tPb,0.782,0.729,11,-6.768,0,0.344,0.133,0.0,0.255,0.655,91.079,14
All Day,"Kooley High, Charlie Smarts",7whZvq9HRLK28XSDxpr1GR,0.632,0.602,0,-9.156,1,0.328,0.585,5.64e-05,0.143,0.465,171.965,5
All for One - 2006 Remastered Version,Brand Nubian,21IOFpxNnp1Uo7tcDp8Gjg,0.916,0.68,11,-6.618,1,0.0815,0.0264,0.0,0.319,0.626,101.525,2
All I Do,Brown Bag Allstars,1NwFJsevZE5SJLUepvp3pl,0.388,0.895,10,-6.033,0,0.294,0.0242,0.0,0.152,0.67,84.998,14
All I Do,Robust,72wIcgiIU57943JTHlXp0w,0.72,0.758,7,-7.448,1,0.122,0.44,3.4e-05,0.128,0.705,85.02,2
All I Need,"Trainspotters, ICBM",7AwkocXinwMzExqHty8vPu,0.679,0.823,6,-5.005,0,0.264,0.492,0.0,0.206,0.791,91.957,0
All In Together,"Skyzoo, Torae, Guilty Simpson, Sean Price",6wGDvirRBaIyNASOaBq89v,0.635,0.969,1,-3.477,0,0.264,0.539,0.0,0.0529,0.664,90.285,0
All That I Got Is You (feat. Mary J. Blige),"Ghostface Killah, Mary J. Blige",627vP3nl9eI4xF4yEQEyze,0.254,0.693,10,-8.435,0,0.0929,0.787,0.0,0.331,0.812,173.459,19
All The Time (feat. Spit Gemz & Shaz Illyork),"DJ Brans, Shaz Illyork, Spit Gemz",2M6G3XSssYjPjgL5RrTlD4,0.774,0.579,5,-6.566,1,0.155,0.367,0.0,0.313,0.763,92.007,2
All You Need,Brother Ali,0IXsYHlMe327aHRyGVnIu0,0.728,0.691,10,-5.854,0,0.193,0.0717,0.0,0.223,0.751,88.986,14
Allison James,"Stoupe, Slaine",6EYbhLRnGSlrI7xFgrGwyF,0.642,0.946,9,-4.253,1,0.226,0.0402,0.128,0.151,0.595,95.976,1
Alphabet Aerobics,"Blackalicious, Lateef The Truthspeaker, Cut Chemist",4z5L0qDduw3w1apQ4Qa6KV,0.65,0.515,10,-8.722,0,0.198,0.0196,0.0,0.0974,0.885,97.052,20
An Unexpected Call,"Ghostface Killah, Apollo Brown, Inspectah Deck",4HroWfKv4OYCiW6c8Js1ds,0.487,0.702,6,-9.387,1,0.369,0.355,0.0,0.57,0.942,86.116,12
And This Is For...,Murs,6WTPsVzmSRxo0vBzRfgANT,0.622,0.744,5,-9.124,0,0.0882,0.454,0.0,0.128,0.706,83.96,0
Anderson Silva (feat. Havoc),"Sean Price, Havoc",4eSfTZiI3aMa82GYNUTAXc,0.64,0.73,6,-6.591,1,0.206,0.221,0.0,0.385,0.478,87.057,18
Angel of Death,Eligh,17tELUX8o83JQQvJFgSVXb,0.762,0.694,11,-4.043,0,0.104,0.0316,4.15e-05,0.521,0.563,144.107,7
Animal Sacrifice,"Apollo Brown, Ras Kass",5gR4tgz8hWNxOOKP4S2082,0.497,0.662,9,-6.738,0,0.442,0.0094,1.86e-06,0.536,0.455,89.232,14
Anotha One,"Apollo Brown, O.C.",4w4YE7ckKVitaKRbAfaJpR,0.583,0.611,4,-6.513,0,0.142,0.405,0.000398,0.113,0.553,85.759,0
Another One (feat. Trick Trick & Rock),"Random Axe, Trick Trick, Rock",6Weqrs8JVi52MG0URy4liQ,0.609,0.893,1,-4.745,1,0.333,0.0325,0.0,0.252,0.671,174.716,5
Anti-Matter,"King Geedorah, Mr Fantastik",4kVxStqN7DeoZje5aidAn3,0.865,0.752,0,-2.461,1,0.272,0.39,7.96e-05,0.106,0.791,95.377,15
Any Port,Non Prophets,0sMHHH3tGET0R25lV2tEK3,0.788,0.602,10,-10.637,0,0.272,0.166,0.0249,0.374,0.542,95.095,20
Architecture (feat. Sha Stimuli & Substantial),"Natti, Sha Stimuli, Substantial",1wX58YzZQz5YBb69hEjs31,0.674,0.68,11,-9.141,0,0.0927,0.109,1.75e-05,0.109,0.285,93.058,20
Army Fatigue Rap feat. DJ Roddy Rod & Hassan Mackey,Kaimbr & Kev Brown,00ubVpkFwcHqWaYz44G0Ga,0.554,0.6,4,-10.242,0,0.267,0.264,0.0,0.149,0.678,94.63,0
Art of Rap,"Copperpot, Josh Abrams, Edo. G, Masta Ace, Tomeka Reed, Dan Bitney, Rodney Anderson",47Tb5YAfIYatIuZYsrdJIx,0.796,0.754,7,-6.296,0,0.0515,0.178,6.98e-06,0.548,0.659,91.995,12
Arthur's Song,Atmosphere,1NYPbfyO0p0Te6jdiynhVS,0.658,0.67,5,-5.347,0,0.145,0.222,1.09e-05,0.258,0.494,81.107,0
As If We Existed,Solillaquists of Sound,09h6LveFx6scJ98XCboxRl,0.676,0.556,2,-11.783,0,0.0803,0.272,0.0324,0.486,0.569,166.019,19
Aspirations (feat. Soul Khan),"Koncept, Soul Khan, J57",7wZ6XIWgxfqWabZHKL4JFk,0.672,0.68,0,-5.972,1,0.215,0.0678,0.0,0.313,0.683,90.097,18
Baby,"J Dilla, Guilty Simpson, Madlib",0wotldYXx2K5HH0CwhzYrX,0.478,0.812,11,-5.709,0,0.423,0.369,0.0,0.278,0.768,89.041,14
Babygirl,Brother Ali,4VsOIj6PAEKM3kZMVV1Kso,0.819,0.586,1,-6.483,0,0.297,0.231,0.0,0.0941,0.282,94.973,0
Babylon,Outkast,1OkHiYsPJBwhR5Jb0hz9Q1,0.77,0.444,10,-12.226,0,0.44,0.0943,0.0,0.0861,0.416,83.375,20
Babylon Reload,"Endemic, Killah Priest, Hell Razah, Shabazz the Disciple",0H0BHQswnVYTrdw0ClIk4i,0.589,0.78,4,-6.104,0,0.245,0.372,0.0,0.206,0.42,87.025,0
Bad Guy,uMaNg,4G4GzohvL4ntPIAnGyEcsV,0.659,0.96,5,-3.319,0,0.266,0.0163,1.48e-05,0.77,0.775,87.972,12
Bad Man!,Murs,5V7JsXzvnZ7gYF479LGFAO,0.458,0.744,1,-9.733,1,0.319,0.00181,0.0,0.0711,0.799,172.117,5
Badmon Ting (feat. Big Body Bes),"Meyhem Lauren, Big Body Bes",303CNhplWo4yb1JibjQZXf,0.55,0.911,7,-3.892,1,0.118,0.00834,0.0,0.171,0.675,88.903,1
Bag of Shit (feat. Loudmouf Choir),"Sean Price, M-Phazes, Loudmouf Choir",3BJKS7ccjcdIMqUNbisV1m,0.566,0.927,5,-5.59,1,0.379,0.0925,0.0,0.158,0.713,89.972,18
Ballad of the Black Gold,"Hi-Tek, Talib Kweli",0V2XMX3Qan5RFMDXw47bYB,0.657,0.871,7,-3.082,0,0.272,0.0449,9.12e-05,0.632,0.647,78.329,12
"Bang Exclusive (feat. Sean Price, Chuck Chilla & DJ Bless)","Kid Tsunami, Sean Price, CHUCK CHILLA, DJ BLESS",3nh1Jhpa59u2hXvzCUbH1v,0.795,0.635,1,-7.1,1,0.235,0.0209,0.000189,0.106,0.641,91.018,17
Bar-Barian,Sean Price,6yy33PxgBGW73FmGuAqKSj,0.553,0.852,1,-5.242,1,0.423,0.607,0.0,0.213,0.579,86.442,18
Bare Face Robbery (prod. by Tom Delay),"Dirt Platoon, Tom Delay",1artD2Ov5WuKiLUSOomn8a,0.735,0.691,8,-4.533,0,0.346,0.109,0.0,0.0679,0.776,86.584,14
Basquiat on the Draw,"Apollo Brown, Skyzoo, Conway the Machine, Westside Gunn",4OpKHiCvEPxfeHBMdHTAPp,0.388,0.958,9,-4.609,1,0.532,0.0508,0.0,0.162,0.547,81.889,18
Battle Cry Remix (feat. Boog Brown),"The Regiment, Boog Brown",4awPKgUmRFjXH0RHZznPYH,0.486,0.983,9,-1.965,0,0.319,0.035,0.0,0.0702,0.713,71.337,14
Battle Hymn,"Vinnie Paz, Apathy, King Syze, Crypt The Warchild, Jus Allah, The Esoteric, Blacastan, Celph Titled, Planetary",1HSGn0KVpyv9H6l2KRwmAI,0.551,0.899,11,-5.219,0,0.217,0.0031,0.0,0.369,0.642,87.457,14
Be Free (Remix),"Cunninlynguists, Natti",4tgXartJF0g9S3svgQok78,0.632,0.742,9,-7.986,1,0.18,0.0332,0.0,0.244,0.487,89.981,2
Be Healthy,Dead Prez,1XFRw25rwKCYk3KFqUQZjt,0.78,0.482,2,-8.6,0,0.321,0.461,0.0,0.217,0.669,85.978,0
Beards R Us,"Freeway, Jakk Frost, Malik B., Tana Da Beast",5iLUfCxA24M0CLVnNplU1D,0.442,0.789,10,-7.809,1,0.312,0.282,0.0,0.623,0.447,87.477,12
Beastin',"Chino XL, Killah Priest",6ueoIPx2gm7is9Y5Ukb7sv,0.716,0.858,8,-6.755,1,0.148,0.0875,0.0,0.125,0.579,102.023,1
Beautiful Minds,Killah Priest & Chief Kamachi,0gRk0af2jXTVVl1HpeUebB,0.577,0.866,9,-6.608,0,0.218,0.0813,0.0,0.26,0.33,77.026,14
Benzi Box,"DANGERDOOM, MF DOOM, Danger Mouse, CeeLo Green",6bmJYo1KS2X2nzQrCGzdOe,0.894,0.458,2,-8.594,1,0.0508,0.0666,0.0187,0.107,0.682,97.01,17
Bet You Didn't Know,N-Tyce,1aeA02lNjfemLZ3cWtdgbI,0.925,0.615,6,-7.227,1,0.0701,0.000664,0.0872,0.216,0.48,104.012,2
"Big Homie Style feat. J. Pinder, GMK & Spaceman",Jake One,0emZgAc7euKw8hWQXcLkn4,0.672,0.955,0,-3.579,1,0.208,0.351,0.0,0.0888,0.525,89.006,18
Binoculars,"The Left, Journalist 103, Apollo Brown, DJ Soko",5Wxy1IVYiR0nCXVC2ygEkj,0.572,0.66,6,-6.471,1,0.0612,0.0316,1.54e-05,0.126,0.0869,80.005,13
Biochemical Equation,"RZA, MF DOOM, Wu-Tang Clan",3pjoafi0X1QnfU9d2VVSvL,0.482,0.872,11,-1.883,0,0.229,0.191,5.84e-06,0.36,0.717,80.851,14
Bird's Eye View,Zion I,541IBGVpoM7HTzNnVV7csG,0.453,0.704,0,-5.388,0,0.363,0.157,3.37e-05,0.744,0.708,198.219,19
Bitch Slap,"Reks, R.A. The Rugged Man",0NQPnFFf3UlU7xCClNUd1G,0.598,0.952,7,-4.623,1,0.276,0.000529,0.000224,0.0913,0.609,90.0,18
Black,"Oh No, Wise Intelligent",643Iu6pz0MuMh6vzesS6nV,0.682,0.73,9,-4.466,1,0.247,0.00256,0.0,0.27,0.666,96.354,2
Black & White,"R.A. The Rugged Man, Timbo King",7lck03GPNyNTUtqRitPwPS,0.683,0.744,1,-7.489,1,0.452,0.0953,0.0,0.249,0.758,83.606,18
Black Dawn,"Bronze Nazareth, Wu-Tang Clan",3Nmm6FTObe4Igou7PSqBL8,0.713,0.727,11,-7.466,0,0.313,0.327,0.0,0.287,0.764,86.287,14
Black Girl Pain,Talib Kweli,2mgYxfRVNEdAsU96AOcUg7,0.554,0.796,11,-10.113,0,0.467,0.00725,1.14e-05,0.347,0.428,157.95,19
Black Opera feat. Raekwon,"Supernatural, Raekwon",7qVokbnMSIl3U8yuF0ET2w,0.588,0.837,1,-5.021,0,0.377,0.476,0.0,0.354,0.686,77.026,0
Black Sunday,Organized Konfusion,1zLjDhQjk17lUsIeJvQzS3,0.834,0.656,7,-10.478,1,0.121,0.187,0.0,0.308,0.656,85.366,2
Black With N V (No Vision),Black Sheep,2HWmSA6ymReahDsK0CrqeT,0.838,0.673,1,-12.301,1,0.289,0.637,0.0,0.618,0.937,99.924,12
Blackout,"Method Man, Redman",62q0wyC0YQnQFvaD8mLEbK,0.56,0.917,1,-3.839,1,0.399,0.0602,1.94e-05,0.466,0.758,91.901,18
Blade: The Art of Ox,"Cannibal Ox, Artifacts, U-God",76AbkgGW5zFJrEffpWSHqr,0.582,0.786,1,-4.574,1,0.162,0.0198,2.92e-05,0.242,0.551,81.587,6
Blah Blah Blah,Blahzay Blahzay,4ecslEe253IihY4KOZciyt,0.766,0.569,9,-10.173,1,0.145,0.0273,0.00655,0.128,0.651,91.838,2
Blinded,Wisemen,5KTDpWtsJgzQw5jFjnzrWB,0.565,0.701,6,-7.913,0,0.299,0.213,0.0,0.12,0.489,79.487,14
Block Episode,"Masta Ace, Punch&Words",1axCLL1W1NiOVz32Dnf2Ie,0.791,0.627,1,-7.474,1,0.307,0.477,0.0,0.645,0.708,94.962,12
Blood In Blood Out,Jedi Mind Tricks,3J879i79Um3fE6FB4kdAnS,0.847,0.829,1,-5.548,0,0.263,0.134,0.00106,0.113,0.605,97.087,0
Boom Bye Yeah,Sean Price,545cKgvj9c85Umv1FHG6l2,0.719,0.863,4,-3.266,0,0.396,0.0572,1.51e-05,0.0603,0.503,94.249,0
Born and Raised In Compton,DJ Quik,23trPalTVGb4H4CzyHrQ9W,0.733,0.442,10,-14.498,0,0.37,0.0239,0.0,0.133,0.86,181.634,19
Bout That Time,Type.Raw,2u2yXZBq9U7uflZwY2vky6,0.666,0.739,0,-10.333,1,0.351,0.186,0.0,0.175,0.663,89.666,17
Brand New,"Rashad & Confidence, Confidence",4lPUJveg3ej9eQMApfFudk,0.667,0.776,10,-4.187,0,0.244,0.154,0.0,0.0651,0.942,91.883,14
Brand New Nikes,Matlock,2Cf0AOp9YKFjZhl80YYKI7,0.627,0.624,7,-14.552,1,0.337,0.061,0.0,0.113,0.539,97.811,2
Breaking Up,Classified,5d4oIvoDBEOoWzIxGF4FTG,0.757,0.768,3,-5.994,1,0.102,0.284,0.0,0.708,0.793,97.989,12
Bright Lights,Cap D,1bI9C2oEBFIpMw5IYhBfiv,0.709,0.931,6,-4.77,0,0.304,0.451,0.0,0.104,0.527,88.0,14
Bring It On,Organized Konfusion,16Pt373N22KB7qWsiCoHKO,0.586,0.538,6,-11.405,1,0.354,0.0512,0.00215,0.12,0.422,74.486,2
"Broke As Ruck (feat. Sean Price, Big Scen & DJ Grouch)","Pro Logic, Sean Price, Big Scen, Dj Grouch",1fY64U7ZRxMhRccc0rnPtL,0.534,0.784,1,-3.249,1,0.315,0.0294,0.0,0.22,0.528,83.395,18
Brooklyn In My Mind,"9th Wonder, Mos Def, Memphis Bleek, Jean Grae",6p5zkjfs3Lni4es1FyoECy,0.475,0.835,10,-5.309,0,0.295,2.36e-05,0.000502,0.359,0.354,189.094,19
Buc Bac,Onyx,79C5aDfBlHjT4kkDdMmJCt,0.796,0.769,6,-3.279,0,0.264,0.0156,0.0,0.0826,0.62,88.045,0
Build Me Up (feat. O.D.B.),"Rhymefest, Ol' Dirty Bastard",1lDQnoaRclxpdAkPVFtDvd,0.821,0.831,7,-3.704,1,0.172,0.107,0.0,0.338,0.62,130.533,1
Building 8,Rasheed Chappell,3plHIDklSoIWiLSdXHsjoG,0.576,0.598,7,-9.229,1,0.0685,0.26,0.00904,0.34,0.378,93.943,13
Bully Rap (feat. Realm Reality),"Sean Price, Realm Reality",3AQso31OmGT7tfZyfoDcjE,0.383,0.767,4,-5.441,0,0.345,0.207,0.0,0.143,0.246,76.875,11
Bumrush,Dom Pachino,6rkXiYO0C94uOqE4ML3FYI,0.673,0.826,2,-6.217,0,0.0519,0.231,0.0,0.0969,0.696,95.015,0
Buried Alive,Hell Razah,13ExljYOuANGQOUJdgzrvQ,0.619,0.678,2,-5.428,1,0.229,0.178,0.0,0.108,0.429,81.483,6
Burning Vapour,The Four Owls,0h52x9IP819zgyBSUg2liC,0.534,0.94,4,-4.019,1,0.333,0.419,0.0,0.374,0.635,91.765,18
Bye Bye,"Sean Price, Buckshot",014JZHrHt3n9mzJSOeQgRs,0.463,0.964,11,-3.651,0,0.267,0.0355,2.87e-06,0.365,0.586,88.092,14
Soul Like Khan,Soul Khan,2MawoesEPF5RBpcs67Htpt,0.496,0.907,7,-5.432,1,0.303,0.238,0.0,0.12,0.513,90.09,18
Call Of The Wild,Rise and The Avid Record Collector,2lfm0qFEvFSlhtAPgSVRHU,0.424,0.928,1,-6.046,1,0.258,0.0597,1.22e-06,0.599,0.907,111.489,12
Call Of The Wild,Heltah Skeltah,3lt8sw6xNU0rqnxddEyEMo,0.543,0.823,1,-6.323,1,0.385,0.0157,0.0,0.213,0.674,90.433,18
Can't Front on Me,Pete Rock & C.L. Smooth,7jVqCPyq6XJrVkWqDPakor,0.679,0.783,4,-11.118,0,0.0861,0.243,0.000418,0.343,0.785,92.847,0
Can't Win for Losin',Ugly Heroes,1LG0o3jJnBi6ZQG0j8t7Fx,0.586,0.905,10,-8.231,0,0.295,0.00862,0.0,0.0848,0.653,80.102,14
Candi Bar,Keith Murray,1fgjpbx6n2nvHD5ryWmejA,0.801,0.726,11,-4.791,1,0.569,0.134,0.0,0.276,0.765,90.032,2
"Candy Razors (feat. Huggy, Kobayashi & Trip)",J-Zone,1eDB43ICHkgZ7HVuJH9dfn,0.679,0.695,1,-9.004,1,0.367,0.172,0.0,0.295,0.806,94.912,18
Cantaloop (Flip Fantasia),"Us3, Rahsaan, Gerard Presencer",06DSI8L6IT8SizCw3JLckz,0.851,0.651,5,-11.515,0,0.0601,0.109,1.2e-05,0.124,0.942,115.992,7
Capital Punishment (feat. Prospect),"Big Pun, Prospect",0RYdG2LxhAwwJxaBZL7L8V,0.658,0.685,10,-4.447,0,0.269,0.3,0.0,0.436,0.287,88.146,14
"Capos (feat. Roc Marciano, P.R. Terrorist, Kevlaar 7)",Endemic,6OzJiDTjVvREnTZ1QdNcE0,0.526,0.848,4,-5.173,0,0.201,0.14,0.0,0.333,0.653,94.767,0
Car And A Job (Beat By Ohmega Watts) - Featuring Ohmega Watts And,"DJ Balance, Surreal",0RVPdlYj3EYGyZD4mhwseJ,0.902,0.644,1,-7.334,0,0.213,0.0223,0.0,0.0515,0.817,95.936,0
"Cardinal (feat. Supreme, Darkim be Allah, DJ Switch)",Endemic,4B8zm08zizyrt0OGvL43pT,0.678,0.651,7,-4.971,1,0.165,0.0472,0.0,0.124,0.471,86.88,13
Care Packages,"Apollo Brown, Skyzoo",5xYRyRkdszPk0cTo6RTUlC,0.401,0.857,0,-5.962,1,0.478,0.192,0.0,0.348,0.623,173.735,5
Case Closed,"Redman, Rockwilder, Napalm",7cmlerCD0eQmwXjTWCC33p,0.689,0.761,11,-8.593,0,0.405,0.15,0.0,0.395,0.84,90.171,14
Caught Up,"Apollo Brown, O.C.",79iCFg1VS3hqhlCmarJLjl,0.375,0.654,4,-6.107,0,0.261,0.0323,0.0,0.194,0.438,176.191,19
Cave Bitch - Remastered,Ice Cube,6JUHgBuPTowBXKBTy6tCPk,0.863,0.661,4,-9.226,0,0.169,0.00257,0.108,0.0856,0.512,96.147,20
Caved In,Cunninlynguists,3gYMAGx3GqewIysmcddCVs,0.48,0.642,1,-5.259,0,0.334,0.535,5.15e-06,0.0982,0.314,84.032,0
Cement 3's (feat. Roc Marciano),"CZARFACE, Roc Marciano",5zLsTTMve3RNXyxJ90znZ3,0.829,0.721,5,-6.217,1,0.217,0.5,0.0,0.496,0.947,91.039,12
Certified Official,"Domingo, Dilated Peoples",0bWJf3hVBcOMMVmT9SBCT6,0.506,0.891,10,-4.449,0,0.424,0.0263,0.0,0.449,0.856,186.989,19
Cha Cha Cha,MC Lyte,0FPXDopNoeVy2GmE6ZLrv1,0.881,0.889,10,-6.062,0,0.357,0.155,0.0,0.316,0.922,91.325,14
Chains,R.A. The Rugged Man,5fsNdaeeHPpJHB3sePHrY5,0.756,0.861,11,-5.769,1,0.278,0.0448,0.0,0.117,0.808,88.281,2
Champion Sound,"Jaylib, Madlib, J Dilla",4yrqHxAUBDU6Uwrcn3oVo9,0.287,0.781,1,-7.747,1,0.45,0.203,4.17e-06,0.809,0.436,184.38,5
Check Yo Self,Ice Cube,2Q21T7gfWltYB592v39re5,0.856,0.792,1,-3.256,1,0.115,0.191,0.0,0.402,0.8,101.05,15
Cheeba Cheeba,Strong Arm Steady,646ozQzdCN2rMIduxs3l21,0.492,0.667,1,-8.794,0,0.398,0.0983,0.0,0.21,0.609,91.284,0
Cheers,"DJ Skizz, Hus KingPin, Rozewood",03bgb9LrXNToaBnu63F2X6,0.517,0.664,0,-5.312,1,0.198,0.304,1.36e-06,0.205,0.504,71.181,6
Cheesesteaks,Vinnie Paz,2mu7xUAOYfmUw8PoZzLeYo,0.49,0.855,6,-4.548,0,0.269,0.00287,0.0541,0.0623,0.652,88.163,14
Chewbacca (feat. Roc Marciano),"Random Axe, Roc Marciano",20NgpEniA0g5sKMgd6kTwE,0.439,0.801,4,-4.37,0,0.334,0.2,0.276,0.0869,0.735,91.756,0
Children Sing,PaceWon & Mr. Green,3jmHcu9v3FFRgtztbEejgk,0.39,0.89,1,-6.145,1,0.203,0.0479,0.0,0.226,0.558,83.052,18
Choices,Apollo Brown,2QiKbQaZ97aYX062Zwlcr1,0.45,0.593,6,-5.818,1,0.0362,0.000987,0.744,0.26,0.179,80.391,21
Choir Practice,Ugly Heroes,5UCjwSm5WP4l4WDsv6yzWC,0.643,0.647,6,-9.043,1,0.1,0.000108,0.0,0.0976,0.26,85.67,13
Chokehold (feat. Paradime),"The Left, DJ Soko, Apollo Brown, Journalist 103",4DM54bKGXppruWFMTwbNI9,0.425,0.805,9,-4.957,0,0.259,0.036,2.42e-06,0.177,0.262,83.408,11
Christ Conscious,Joey Bada$$,6v4s7JosY38tu0hTZGpgrx,0.649,0.717,4,-5.021,1,0.262,0.0131,3.26e-05,0.18,0.589,86.798,18
Church,"Sean Price, Rock, The Loudmouf Choir",4ssHL0k8OEQOASH8vrkoUH,0.835,0.726,5,-5.198,1,0.328,0.0131,0.0,0.4,0.566,89.986,2
"Churches, Music & Politics","Estee Nack, Purpose",0MktvCiQtI22MpZ1CMK0lr,0.62,0.905,0,-4.502,1,0.308,0.0178,0.00486,0.285,0.735,91.847,18
Clap (One Day),"Pharoahe Monch, DJ Boogie Blind, Showtyme",2Rk9x8aLKeIJjFuSmYUtm5,0.639,0.887,9,-2.986,1,0.409,0.113,0.0,0.535,0.864,91.21,12
Class in Session feat. IDE,"Critical, IDE",7LYmeScxWzcHgJSmiR79u7,0.762,0.677,5,-6.051,0,0.386,0.377,0.0,0.173,0.865,71.903,0
"Class Struggle (feat. Main Flow, DJ Modesty, Solicit, Copywrite)",Alterbeats,26rx0EPZ8ArcHT26Y9HbND,0.745,0.88,8,-4.98,0,0.298,0.0277,3.78e-06,0.118,0.804,91.209,14
Classic,Frank Nitt,6Q7NqUCasi1qwDg7S4ejEC,0.607,0.763,9,-9.235,0,0.339,0.204,0.0,0.189,0.527,93.516,14
"Click, Clack & Spray - Original Version",PackFM,2otjtE2IBxXQPUMor7V3wv,0.731,0.604,7,-6.9,1,0.36,0.132,0.00176,0.26,0.495,90.073,2
Cold Day,Black Milk,7b2Qz5V8Wqgp2cTDGycGNN,0.713,0.72,10,-4.148,0,0.33,0.173,0.0,0.119,0.888,87.226,14
Cold Train (feat. Grap Luva & Rob-O),"Beneficence, Grap Luva, Robo",4zdct1nz7BuvL6BDJyrtS1,0.696,0.776,1,-6.541,1,0.0517,0.157,0.000497,0.133,0.5,89.999,6
Color,Elzhi,3gjEPA9C3YH7uleiQOvVAh,0.52,0.805,8,-4.353,1,0.434,0.0728,0.0,0.141,0.678,179.72,5
Comin' Thru,Chali 2na,6xuqSVEcGlOO5ynyfs6YzW,0.895,0.737,0,-4.802,1,0.156,0.0284,0.106,0.131,0.816,96.874,15
Commander in Chief (Feat. Kylla Bus),Epidemic,4MQv749Knop1wJxLtu8hdl,0.735,0.628,0,-8.432,1,0.324,0.285,0.0,0.344,0.742,89.933,17
Commited So Deep (feat. Bacardi Riam & Planet Asia),"Sick Jacken, Cynic, Planet Asia, Bacardi Riam",4YvKBZ7zkkX0bRGCBiv4cT,0.778,0.943,6,-5.531,1,0.289,0.0358,0.0,0.213,0.695,92.015,2
